Viewport width,Screen density,Pageviews
1660,1,2
1660,2,2
1662,2,2
1664,1.154,2
1665,1,2
1665,2,2
1666,1.5,2
1668,1,2
1668,2,2
1669,2,2
1672,2,2
1677,1,2
1681,1,2
1687,2,2
1695,1,2
1698,2,2
1706,1,2
1706,2,2
1707,0.938,2
1708,2,2
1710,1,2
1711,1,2
1714,1,2
1715,2,2
1721,1,2
1735,1,2
1737,1,2
1743,1,2
1747,1,2
1751,1,2
1753,1,2
1755,1,2
1756,1,2
1757,1,2
1758,1,2
1759,1,2
1761,1,2
1763,2,2
1764,1,2
1764,2,2
1767,1,2
1775,1,2
1776,1,2
1780,1,2
1783,1,2
1783,2,2
1784,1,2
1788,2,2
1790,1,2
1792,1,2
1794,1,2
1801,1,2
1802,1,2
1805,1,2
1810,2,2
1812,2,2
1818,1,2
1819,1,2
1824,1,2
1825,1,2
1826,1,2
1827,1,2
1829,1.05,2
1832,1,2
1844,1,2
1845,1,2
1849,1,2
1850,1,2
1859,1,2
1859,2,2
1864,1,2
1873,2,2
1874,2,2
1877,2,2
1878,1,2
1879,2,2
1880,2,2
1882,2,2
1884,1,2
1888,1,2
1891,1,2
1897,1,2
1905,1,2
1906,2,2
1908,2,2
1910,2,2
1925,2,2
1927,1,2
1935,2,2
1939,1,2
1948,1,2
1951,2,2
1976,1,2
1978,1,2
1986,1,2
2029,1,2
2047,2,2
2054,2,2
2069,1,2
2080,1,2
2087,1,2
2095,2,2
2096,1,2
2102,1,2
2103,2,2
2140,1,2
2144,1,2
2166,1,2
2168,1,2
2174,1,2
2182,1.76,2
2199,1.75,2
2205,2,2
2209,1,2
2248,1,2
2250,2,2
2270,1,2
2275,1,2
2277,0.6,2
2285,2,2
2297,1,2
2300,1,2
2344,1,2
2393,1,2
2432,1,2
2438,1,2
2452,1,2
2475,1.034,2
2493,2,2
2494,2,2
2499,1,2
2503,1,2
2522,1,2
2527,1,2
2532,1,2
2544,1,2
2550,1,2
2552,1.5,2
2555,1,2
2557,2,2
2561,1,2
261,1,2
2688,1.25,2
2972,1,2
3360,2,2
534,3,2
540,2,2
597,2,2
622,1,2
667,2,2
756,2,2
760,1,2
763,2,2
767,1.25,2
778,1,2
785,2,2
810,1,2
845,1,2
861,1,2
868,1.25,2
875,2,2
896,1,2
900,1,2
901,1,2
908,1,2
917,1,2
918,1,2
948,1,2
951,1,2
952,2,2
953,1,2
954,1,2
956,1,2
962,1,2
964,1,2
969,1,2
983,1,2
988,2,2
993,1,2
998,1,2
1000,2,1
1006,1,1
1006,2,1
1008,2,1
1010,1,1
1011,1,1
1011,2,1
1013,1,1
1015,1,1
1017,1,1
1018,1,1
1018,2,1
1019,1,1
1020,2,1
1022,2,1
1023,1.25,1
1023,2,1
1025,2,1
1026,1.25,1
1028,1,1
1028,2,1
1029,1,1
1029,2,1
1032,1,1
1035,1,1
1035,2,1
1036,2,1
1037,1,1
1038,2,1
1039,2,1
1041,2,1
1045,1,1
1046,2,1
1047,2,1
1049,1,1
1050,1,1
1050,2.5,1
1051,2,1
1052,2,1
1053,1,1
1054,1.25,1
1059,2,1
1061,2,1
1063,1,1
1065,1.5,1
1066,1,1
1067,1.5,1
1067,2,1
1067,2.4,1
1068,1,1
1071,1,1
1071,1.5,1
1071,2,1
1072,2,1
1073,1,1
1074,2,1
1079,2,1
1080,1.25,1
1081,1,1
1082,1,1
1084,1,1
1084,2,1
1087,2,1
1088,2,1
1090,1,1
1090,2,1
1091,2,1
1094,1,1
1095,2,1
1097,1.75,1
1098,1.75,1
1102,1.25,1
1102,2,1
1103,1,1
1104,1,1
1107,2,1
1108,1,1
1109,2,1
1111,2,1
1115,1,1
1117,1,1
1117,2,1
1118,1,1
1119,1,1
1119,2,1
1120,1.25,1
1123,1,1
1127,1,1
1127,2,1
1128,2,1
1131,1,1
1131,2,1
1132,2,1
1133,1,1
1134,1,1
1136,1,1
1137,2.5,1
1138,2.25,1
1139,1.2,1
1142,1,1
1143,2,1
1144,2,1
1147,1,1
1148,1,1
1149,1,1
1149,2,1
1150,1.091,1
1151,1,1
1151,1.25,1
1152,2,1
1152,2.222,1
1154,1,1
1156,2,1
1159,1,1
1159,2,1
1162,1.25,1
1163,1,1
1163,2,1
1165,2,1
1166,1,1
1166,2,1
1167,1,1
1168,1,1
1168,2,1
1170,1,1
1171,1,1
1172,2,1
1174,1,1
1174,1.25,1
1174,2,1
1176,1,1
1176,1.25,1
1177,2,1
1178,1.364,1
1178,2,1
1179,1,1
1182,2,1
1184,1.622,1
1185,1,1
1188,1.5,1
1189,1,1
1189,2,1
1191,1.5,1
1193,1,1
1193,2,1
1194,2,1
1195,2,1
1197,1,1
1201,2,1
1204,2,1
1205,2,1
1206,1.5,1
1207,2,1
1208,1,1
1211,1,1
1212,2,1
1213,2,1
1216,3,1
1219,1,1
1220,1,1
1221,1,1
1222,1,1
1222,1.5,1
1222,2,1
1223,1,1
1224,1,1
1224,1.5,1
1224,2,1
1228,1.5,1
1228,2,1
1229,1,1
1229,2,1
1231,1,1
1236,1,1
1236,1.25,1
1237,2,1
1238,1.104,1
1238,2,1
1242,2,1
1243,2,1
1244,2,1
1246,1.9,1
1248,1,1
1248,1.538,1
1249,1,1
1249,2,1
1251,2,1
1252,1.091,1
1256,1.5,1
1260,2.5,1
1261,2,1
1264,1.1,1
1265,1.5,1
1265,2,1
1266,1.5,1
1267,1.5,1
1271,1,1
1271,1.5,1
1271,2,1
1272,1.5,1
1277,0.896,1
1281,1.2,1
1287,2,1
1288,2,1
1289,2,1
1297,1,1
1299,2,1
1300,1,1
1304,2,1
1305,1,1
1305,2,1
1306,2,1
1309,2.2,1
1312,2,1
1313,1.2,1
1315,2,1
1316,2,1
1321,2,1
1325,1,1
1325,2,1
1327,2,1
1328,2,1
1329,1.25,1
1329,1.375,1
1332,2.25,1
1333,1.2,1
1337,2,1
1338,1.2,1
1339,2,1
1340,2,1
1342,2,1
1343,1,1
1343,1.25,1
1343,2,1
1344,1.429,1
1346,1.25,1
1346,2,1
1348,2,1
1349,1,1
1349,2,1
1350,2,1
1351,1,1
1352,2,1
1355,2,1
1356,2,1
1363,1.395,1
1367,2,1
1370,2,1
1373,1.4,1
1375,2,1
1376,1,1
1376,1.395,1
1376,2,1
1377,1,1
1382,1.25,1
1382,1.333,1
1384,1,1
1388,1,1
1394,2,1
1396,1.375,1
1398,2,1
1402,1,1
1402,2,1
1406,1,1
1406,2,1
1411,1,1
1411,1.7,1
1413,1.1,1
1413,1.8,1
1414,2,1
1416,1.25,1
1419,2,1
1420,1,1
1420,2,1
1421,2.25,1
1422,1.091,1
1422,1.35,1
1423,1.8,1
1424,2,1
1425,1,1
1426,1.25,1
1426,2,1
1427,2.25,1
1431,1,1
1432,2,1
1433,2,1
1434,1.25,1
1436,1.25,1
1443,1,1
1443,2,1
1445,2,1
1446,1,1
1447,1,1
1448,1,1
1448,1.25,1
1449,1,1
1450,1,1
1452,2,1
1453,1,1
1454,2,1
